category,level,genre,ntwk,metric_share,client_metric,prog_metric,client_share,affinity_denom,Genre Share,Client Genre Share,Affinity,Overall Share
Colors HD,Hindi GEC,Hindi GEC,Viacom,24252.32354,2.902582,37.313241,5425.3185285,,0.153854293336,0.0535006743798,,0.0260076931883
Colors Infinity SD,English GEC,English GEC,Viacom,27.754196,,0.943563,1.8088205,,3.39971296592,,,
Colors Kannada,Kannada GEC,Kannada GEC,Viacom,2046.210747,93.3669755,625.8228915,437.9758475,625.8228915,30.5844787697,21.317836596,100.0,0.836586064657
Colors Marathi,Marathi GEC,Marathi GEC,Viacom,1828.675765,109.087599,419.2731755,453.124157,3442.149912,22.9276935542,24.0745493955,12.1805611673,0.977445875928
DD Bangla,Bengali GEC,Bengali GEC,Doordarshan,2109.26117,0.8001015,4.349297,319.2389145,,0.206200022162,0.250627809975,,0.00716906338271
DD Bharati,Hindi Others,Hindi Others,Doordarshan,377.570785,,1.4871225,69.571919,,0.393865881334,,,
DD Chandana,Kannada GEC,Kannada GEC,Doordarshan,2046.210747,,1.6913685,437.9758475,,0.0826585679153,,,
DD Girnar,Gujarati GEC,Gujarati GEC,Doordarshan,42.894304,,3.241793,10.373473,,7.55763049565,,,
DD Kisan,Hindi Others,Hindi Others,Doordarshan,377.570785,,1.9885565,69.571919,,0.526671177697,,,
DD Lucknow,Hindi Others,Hindi Others,Doordarshan,377.570785,0.2358035,1.956008,69.571919,,0.518050674922,0.338934879747,,0.00211284472953
DD Madhya Pradesh,Hindi Others,Hindi Others,Doordarshan,377.570785,0.0224345,3.244766,69.571919,,0.859379520055,0.0322464872645,,0.000201017436487
DD Malayalam,Malayalam GEC,Malayalam GEC,Doordarshan,2705.6142805,,3.610828,196.830327,,0.133456865083,,,
DD National,Hindi Others,Hindi Others,Doordarshan,377.570785,69.062905,322.6856815,69.571919,,85.4636254497,99.2683628577,,0.618816916777
DD News,Hindi News,Hindi News,Doordarshan,3967.655552,,9.5294655,22.033993,21.235,0.240178749771,,44.8762208618,
DD Podhigai,Tamil GEC,Tamil GEC,Doordarshan,7032.552157,,4.809939,836.1146285,,0.0683953548103,,,
DD Rajasthan,Hindi Others,Hindi Others,Doordarshan,377.570785,,0.968854,69.571919,,0.25660195081,,,
DD Sahyadri,Marathi GEC,Marathi GEC,Doordarshan,1828.675765,1.1357225,5.3538055,453.124157,,0.292769533149,0.250642673196,,0.0101762921175
DD Sports,Sports,Sports,Doordarshan,828.6766034,,0.097843,61.7129135,,0.0118071391902,,,
DD Yadagiri,Telugu GEC,Telugu GEC,Doordarshan,6087.3425355,,1.591559,903.2600595,,0.0261453826644,,,
Dabangg,Bhojpuri GEC,Bhojpuri GEC,OTHERS,308.924414,19.1121285,69.010143,70.1923025,,22.3388440255,27.2282398772,,0.171248348609
Dangal,Bhojpuri GEC,Bhojpuri GEC,OTHERS,308.924414,50.877425,180.3126035,70.1923025,,58.3678710159,72.4829122111,,0.455871517019
Dhamaal,Hindi Others,Hindi Others,OTHERS,377.570785,,0.984279,69.571919,,0.260687277486,,,
Dilli Aaj Tak,Hindi News,Hindi News,TV Today Group,3967.655552,1.1094215,28.9738075,22.033993,57.26,0.730250071365,5.03504516862,50.6004322389,0.00994063009711
Discovery Channel,English INFO,English INFO,Discovery Network,826.2188965,,328.7978825,15.523901,362.007864,39.7954929248,,90.8261712514,
Discovery HD World,English INFO,English INFO,Discovery Network,826.2188965,,0.557044,15.523901,,0.067420873858,,,
Discovery Kids,English Kids,English Kids,Discovery Network,139.410308,11.3539225,139.410308,11.3539225,155.147797,100.0,100.0,89.8564534564,0.10173333014
Discovery Science,English INFO,English INFO,Discovery Network,826.2188965,,23.8997285,15.523901,41.1698075,2.89266302202,,58.0515915699,
Discovery Tamil,Tamil INFO,Tamil INFO,Discovery Network,53.4505965,11.298981,53.4505965,11.298981,,100.0,100.0,,0.101241043729
